Adoption,AdultChristening,Amnesty,Apprenticeship
Arrest,Baptism,BarMitzvah,BatMitzvah
Birth,Blessing,Burial,Caste
Census,Christening,Circumcision,Clan
Confirmation,Cremation,Court,Death
Education,EducationEnrollment,Emigration,Ethnicity
Excommunication,FirstCommunion,Funeral,GenderChange
Graduation,Immigration,Imprisonment,Inquest
LandTransaction,Language,Living,MaritalStatus
Medical,MilitaryAward,MilitaryDischarge,MilitaryDraft\-Registration
MilitaryInduction,MilitaryService,Mission,MoveFrom
MoveTo,MultipleBirth,NationalId,Nationality
Naturalization,NumberOfMarriages,Obituary,Occupation
Ordination,Pardon,PhysicalDescription,Probate
Property,Religion,Residence,Retirement
Stillbirth,TaxAssessment,Will,Visit
Yahrzeit,Annulment,CommonLaw\-Marriage,CivilUnion
Divorce,DivorceFiling,DomesticPartnership,Engagement
Marriage,MarriageBanns,MarriageContract,MarriageLicense
MarriageNotice,NumberOfChildren,Separation,AdoptiveParent
BiologicalParent,FosterParent,GuardianParent,StepParent
SociologicalParent,,,